Row_ID,Sex,SatisfiedofSpaceAllocated,SatisfiedofHygieneAndSanitation,"Do you think there are enough healthcare facilities for Rohingya (like aid station, health centre, hospital)?",How satisfied are you with the quality of healthcare you and your family are receiving in the camp?,How satisfied are you with the level of psychological support you and your family are receiving in the camp?,How satisfied are you with the level of social support you and your family receive from neighbours and friends?,Do you think you are able to exercise your religion freely in the camp?,"How satisfied are you with the number of religious facilities (like madrasas, mosques) in the camp?",Do you think there are enough educational opportunities for Rohingya children below the age of 12 in the camp?,Do you think there are enough educational opportunities for Rohingya adolescents (between 12 and 18 years old) in the camp?,Do you think there are enough educational opportunities for Rohingya adults (older than 18 years old) in the camp?,How satisfied are you with the quality of education you and your family are receiving in the camp?,How satisfied are you with the number of job opportunities available to Rohingya adults in the camp?,How satisfied are you with the income your family makes in the camp?,How satisfied are you with the overall help you and your family have been receiving from NGOs?,How do you mostly hear about the news?,Who do you consider the most important person in your camp?,"Other than family, who do you go to when you have a problem?",Do you have enough good friends in the camp?,Do you consider any Bangladeshis as your friends?,Do you believe Rohingya and Bangladeshis can be good friends?,Do you think that there are Rohingya families who have married their daughter off to Bangladeshi boys/men?,Do you personally know any Rohingya family who has married their daughter off to a Bangladeshi boy/man?,How much do you trust the police/military/guards of camps in Bangladesh?,How much do you trust the NGOs in the camp?,How much do you trust the Majhis?,How much do you trust the Imam (religious leader)?,How often do you talk with Rohingya people outside Bangladesh and Myanmar?,In what countries are they now?,How often do you talk with others (non-Rohingya people) outside Bangladesh and Myanmar?,Do you often feel stressed or overwhelmed by your situation?,Do you prefer talking about your problems with others or trying to forget what you are going through?,Do you prefer solving your problems alone or by asking others for their help?,Does talking about your every day problems with others make you feel better?,How comfortable do you feel talking about your problems with NGO workers?,Do you think the situation in the camp is better now or 6 months ago?,Do you smoke cigarettes?,How many cigarettes a day on average?,Did you also smoke before coming to Bangladesh?,Do you chew betel nuts?,How many betel nuts a day on average?,Did you also chew before coming to Bangladesh?,Do you think that there are Rohingya in the camp who use medicine or drink syrup often without needing it?,Have you  ever seen any Rohingya in the camp use medicine or syrup often without needing it?,Do you think that there are Rohingya in the camp who use illegal substances (like alcohol or drugs)?,Have you ever seen any Rohingya in the camp use illegal substances (like alcohol or drugs)?,Do you think that there are Rohingya in the camp who are involved in illegal activities (like selling/transporting drinks or yaba)?,How often do you hear people talking about violent groups in the camp?,How do you think violence in the camp has changed over time?,Do you think that sexual harassment in the camp happens often?,Where does sexual harassment happen the most?,How afraid are you to leave your child unattended in the camp after it gets dark?,Do you think that there are Rohingya families whose child has gone missing since they moved to Bangladesh?,Do you personally know any Rohingya families whose child has gone missing since they moved to this camp?,To what extent do you feel at home in the camp in Bangladesh now?,Do you know that the Bangladesh government plans on moving Rohingya to Bhasan Char?,Are you willing to go?,Do you think that the government of Myanmar will recognize the rights of Rohingya in the next two years?,"If the Myanmar government recognizes the rights of Rohingya in the next two years, will you return to Myanmar?",Do you think that repatriation to Myanmar will happen in the next two years?,Do you personally know any Rohingya who left Bangladesh in the last six months?,Where did they go?,Have you thought about leaving to go to another country other than Myanmar and Bangladesh?,How scared are you to leave for another country?,Where do you think you will be in six months from now?,"If you could choose any country in the world, other than Myanmar, where would you go?",Where do you think the majority of Rohingya would choose to go if they could choose freely (apart from Myanmar)?,How do you feel about the future?,EnoughHealthcareFacilities
12404,Female,Unsatisfied,Very satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,Family,Block Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,Little trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Every few months,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,15,Yes,Yes,FALSE,No,,I don't want to answer,Never,Same,No,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,FALSE,FALSE,No,,FALSE,very scared,"Here, in the camp",Canada,Canada,very positive,TRUE
12405,Female,Very unsatisfied,Very satisfied,,Unsatisfied,Unsatisfied,Neither satisfied nor unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,Quite a bit of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,FALSE,,,No,,No,,No,A few times a year,Decreased a lot,Yes,In the streets,Very afraid,TRUE,FALSE,Somewhat,Yes,No,FALSE,FALSE,FALSE,No,,FALSE,very scared,"Here, in the camp ",Canada,Canada,very positive,TRUE
12406,Female,Very unsatisfied,Very satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,Quite a bit of trust,A lot of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,10,Yes,No,,No,,I don't want to answer,A few times a year,Same,No,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",I don't want to go anywhere else.,I don't know about the majority,positive,TRUE
12407,Female,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Neither satisfied nor unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,TRUE,15,Yes,No,,No,,No,A few times a year,Decreased a lot,No,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,Myanmar/Motherland,I don't want to go anywhere else.,Saudi Arabia,positive,TRUE
12408,Female,Satisfied,Very satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,Quite a bit of trust,A lot of trust,Little trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,8,Yes,Yes,FALSE,No,,I don't want to answer,A few times a year,Decreased a lot,Yes,In the streets,I don't have children - does not apply,TRUE,FALSE,Somewhat,Yes,No,TRUE,TRUE,TRUE,No,,FALSE,very scared,Myanmar/Motherland,No reply/No comment,I don't know about the majority,neither positive nor negative,TRUE
12409,Female,Very unsatisfied,Satisfied,,Satisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,trying to forget,I solve my problems myself,FALSE,Neither comfortable nor uncomfortable,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Australia,Australia,positive,TRUE
12410,Female,Unsatisfied,Very satisfied,,Satisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,Quite a bit of trust,A lot of trust,Quite a bit of trust,A lot of trust,Every few months,,Never,FALSE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Canada,Canada,very positive,TRUE
12411,Female,Very unsatisfied,Satisfied,,Satisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,Little trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,15,Yes,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,Another (peaceful) place/country,Saudi Arabia,Saudi Arabia,positive,TRUE
12412,Female,Very unsatisfied,Satisfied,,Satisfied,Unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,Quite a bit of trust,A lot of trust,A lot of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,10,Yes,No,,No,,No,A few times a year,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,TRUE,TRUE,TRUE,No,,FALSE,very scared,Myanmar/Motherland,I don't want to go anywhere else.,No reply/No comment,neither positive nor negative,TRUE
12413,Female,Unsatisfied,Unsatisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Satisfied,Satisfied,Friends and neighbours,Husband,Neighbour,TRUE,FALSE,FALSE,FALSE,,Quite a bit of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,TRUE,3,Yes,Yes,TRUE,No,,Yes,A few times a year,Decreased a lot,No,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",I don't want to go anywhere else.,Canada,positive,TRUE
12414,Female,Very unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Neither satisfied nor unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,FALSE,TRUE,FALSE,,Quite a bit of trust,A lot of trust,Little trust,A lot of trust,Every few months,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,TRUE,10,Yes,No,,No,,I don't want to answer,A few times a year,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp ",No reply/No comment,I don't know about the majority,positive,TRUE
12415,Female,Very satisfied,Very satisfied,,Satisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Satisfied,Family,Block Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,Quite a bit of trust,A lot of trust,Once a month,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,Yes,A few times a year,Decreased a lot,No,,Very afraid,TRUE,FALSE,Somewhat,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,No reply/No comment,Canada,Canada,positive,TRUE
12416,Female,Satisfied,Satisfied,,Satisfied,Unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,CIC,Army,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,No trust at all,A lot of trust,Never,,Never,TRUE,trying to forget,I solve my problems myself,FALSE,Neither comfortable nor uncomfortable,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",USA,USA,positive,TRUE
12417,Female,Very unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Neither satisfied nor unsatisfied,Friends and neighbours,Head Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Every few months,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,TRUE,15,Yes,No,,No,,No,A few times a year,Decreased a lot,No,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,Yes,Malaysia,TRUE,not scared,Another (peaceful) place/country,Malaysia,Saudi Arabia,positive,TRUE
12418,Female,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Neither satisfied nor unsatisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,Friends and neighbours,CIC,Army,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Little trust,A lot of trust,Never,,Never,TRUE,trying to forget,I solve my problems myself,FALSE,Neither comfortable nor uncomfortable,same-nothing has changed,FALSE,,,TRUE,10,Yes,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Very little,Yes,Yes,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",I don't want to go anywhere else.,I don't know about the majority,positive,TRUE
12419,Female,Satisfied,Satisfied,,Unsatisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Satisfied,Unsatisfied,Very satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,A lot of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12420,Female,Satisfied,Satisfied,,Unsatisfied,Satisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Very satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,A few times a year,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp","Saudi Arabia, Turkey","Saudi Arabia, Turkey",negative,TRUE
12421,Female,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Unsatisfied,Satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,TRUE,4,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp","Saudi Arabia, Turkey",Saudi Arabia,negative,TRUE
12422,Female,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Satisfied,Radio,Block Mahji,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Little trust,A lot of trust,Never,,Never,FALSE,trying to forget,I solve my problems myself,FALSE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,3,Yes,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,TRUE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12423,Male,Satisfied,Satisfied,,Satisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Satisfied,Unsatisfied,Satisfied,Radio,Block Mahji,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,TRUE,5,TRUE,TRUE,3,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,Myanmar/Motherland,Saudi Arabia,Saudi Arabia,negative,TRUE
12424,Male,Unsatisfied,Satisfied,,Satisfied,Satisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,TRUE,5,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,"Here, in the camp","Saudi Arabia, Turkey","Saudi Arabia, Turkey",negative,TRUE
12425,Female,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Unsatisfied,Very satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Little trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,A few times a year,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp","Saudi Arabia, Turkey","Saudi Arabia, Turkey",negative,TRUE
12426,Male,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Very satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Little trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,now,FALSE,,,TRUE,4,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp","Canada, USA","Canada, USA",negative,TRUE
12427,Male,Unsatisfied,Satisfied,,Satisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Satisfied,Very satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Little trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,now,FALSE,,,FALSE,,,No,,No,,No,A few times a year,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,Depends on what the government will decide,"Australia, USA","Australia, USA",negative,TRUE
12428,Male,Satisfied,Satisfied,,Unsatisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Very satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Little trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,Never,Decreased,No,,I don't have children - does not apply,FALSE,,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,"Here, in the camp","Australia, USA","Australia, USA",negative,TRUE
12429,Male,Unsatisfied,Satisfied,,Satisfied,Satisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Satisfied,Unsatisfied,Very satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Little trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,TRUE,10,TRUE,TRUE,7,Yes,No,,No,,No,Never,Same,No,,Afraid,FALSE,,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,Depends on what the government will decide,"Canada, USA","Canada, USA",negative,TRUE
12430,Female,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Little trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,3,Yes,No,,No,,No,A few times a year,Same,No,,Very afraid,FALSE,,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp","Saudi Arabia, USA","Saudi Arabia, USA",negative,TRUE
12431,Male,Satisfied,Satisfied,,Satisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Satisfied,Unsatisfied,Very satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Little trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,TRUE,3,Yes,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp","Australia, USA","Australia, USA",negative,TRUE
12432,Male,Satisfied,Satisfied,,Satisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Satisfied,Very satisfied,"Social media (e.g. Facebook, Twitter, Instagram)",CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Little trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,Never,Decreased,No,,Very afraid,FALSE,,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,Depends on what the government will decide,"Australia, USA","Australia, USA",negative,TRUE
12433,Male,Satisfied,Satisfied,,Unsatisfied,Satisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Unsatisfied,Very satisfied,Friends and neighbours,CIC,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Little trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,A few times a year,Same,No,,Very afraid,FALSE,,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,"Here, in the camp",Turkey,"Saudi Arabia, Turkey",negative,TRUE
12434,Female,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Satisfied,Unsatisfied,Very satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,FALSE,,,TRUE,4,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,Can't imagine/I am not sure where I will be,Saudi Arabia,Saudi Arabia,negative,TRUE
12435,Male,Satisfied,Satisfied,,Satisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Satisfied,Very unsatisfied,Satisfied,Friends and neighbours,Block Mahji,Block Majhi,TRUE,TRUE,TRUE,FALSE,,A lot of trust,A lot of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Very comfortable,same-nothing has changed,TRUE,5,TRUE,FALSE,,,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12436,Male,Satisfied,Satisfied,,Unsatisfied,Satisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Satisfied,Unsatisfied,Very satisfied,Friends and neighbours,Block Mahji,Block Majhi,FALSE,TRUE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Little trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,No,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
12440,Male,Satisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,Head Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,A lot of trust,A lot of trust,A lot of trust,Once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,5,Yes,No,,No,,No,A few times a year,Decreased,No,,Afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,FALSE,scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,neither positive nor negative,TRUE
12441,Male,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,Head Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,Quite a bit of trust,A lot of trust,Never,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,TRUE,5,TRUE,FALSE,,,No,,No,,No,A few times a year,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp","Australia, USA","Australia, USA",negative,TRUE
12442,Male,Unsatisfied,Satisfied,,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Unsatisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,Friends and neighbours,Head Mahji,Block Majhi,TRUE,FALSE,TRUE,FALSE,,A lot of trust,Quite a bit of trust,A lot of trust,A lot of trust,More than once a week,,Never,TRUE,talking,I ask for help,TRUE,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,5,Yes,No,,No,,No,Never,Decreased,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative,TRUE
